epitope	gene	freq
NTD	IGKV1-12	0.0311284046692607
NTD	IGKV1-13	0.009727626459143969
NTD	IGKV1-16	0.019455252918287938
NTD	IGKV1-17	0.011673151750972763
NTD	IGKV1-27	0.007782101167315175
NTD	IGKV1-33	0.038910505836575876
NTD	IGKV1-37	0.0
NTD	IGKV1-39	0.06031128404669261
NTD	IGKV1-5	0.0622568093385214
NTD	IGKV1-6	0.0038910505836575876
NTD	IGKV1-8	0.0019455252918287938
NTD	IGKV1-9	0.021400778210116732
NTD	IGKV1-NL1	0.0038910505836575876
NTD	IGKV1/OR2-108	0.0038910505836575876
NTD	IGKV1D-12	0.0
NTD	IGKV1D-13	0.0
NTD	IGKV1D-16	0.0038910505836575876
NTD	IGKV1D-8	0.0019455252918287938
NTD	IGKV2-24	0.01556420233463035
NTD	IGKV2-28	0.017509727626459144
NTD	IGKV2-29	0.0
NTD	IGKV2-30	0.007782101167315175
NTD	IGKV2-40	0.005836575875486381
NTD	IGKV2D-28	0.009727626459143969
NTD	IGKV2D-29	0.005836575875486381
NTD	IGKV2D-30	0.0
NTD	IGKV3-11	0.0622568093385214
NTD	IGKV3-15	0.04474708171206226
NTD	IGKV3-20	0.06809338521400778
NTD	IGKV3D-11	0.0019455252918287938
NTD	IGKV3D-15	0.058365758754863814
NTD	IGKV3D-20	0.0019455252918287938
NTD	IGKV3D-7	0.0
NTD	IGKV4-1	0.02529182879377432
NTD	IGKV6-21	0.0
NTD	IGLV1-36	0.0019455252918287938
NTD	IGLV1-40	0.017509727626459144
NTD	IGLV1-44	0.017509727626459144
NTD	IGLV1-47	0.017509727626459144
NTD	IGLV1-50	0.0
NTD	IGLV1-51	0.02529182879377432
NTD	IGLV2-11	0.013618677042801557
NTD	IGLV2-14	0.04669260700389105
NTD	IGLV2-18	0.0038910505836575876
NTD	IGLV2-23	0.058365758754863814
NTD	IGLV2-8	0.019455252918287938
NTD	IGLV3-1	0.04669260700389105
NTD	IGLV3-10	0.017509727626459144
NTD	IGLV3-16	0.0
NTD	IGLV3-19	0.007782101167315175
NTD	IGLV3-21	0.03501945525291829
NTD	IGLV3-25	0.038910505836575876
NTD	IGLV3-27	0.0
NTD	IGLV3-9	0.0019455252918287938
NTD	IGLV4-3	0.0
NTD	IGLV4-60	0.0
